Dataset,#TrainingRelease,%training,%Defective in Training,%Defective in Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper,6,0.8571428571428571,0.012427245556079911,0.004719207173194903,NaiveBayes,No Sampling,Feature Selection,4.0,82.0,2027.0,6.0,0.046511627906976744,0.4,0.6801327643432906,0.07551659858009939
bookkeeper,6,0.8571428571428571,0.012427245556079911,0.004719207173194903,RandomForest,No Sampling,Feature Selection,1.0,14.0,2095.0,9.0,0.06666666666666667,0.1,0.6805832147937411,0.0747603227337423
bookkeeper,6,0.1297741273100616,0.5,0.004719207173194903,IBk,UnderSampling,No Feature Selection,5.0,53.0,2056.0,5.0,0.08620689655172414,0.5,0.7107396870554765,0.1401365684381394
bookkeeper,6,0.1297741273100616,0.5,0.004719207173194903,NaiveBayes,UnderSampling,No Feature Selection,4.0,85.0,2024.0,6.0,0.0449438202247191,0.4,0.7872925557136083,0.07294195700982187
bookkeeper,6,0.1297741273100616,0.5,0.004719207173194903,RandomForest,UnderSampling,No Feature Selection,6.0,102.0,2007.0,4.0,0.05555555555555555,0.6,0.7936225699383594,0.09386724328511199
bookkeeper,6,0.1297741273100616,0.5,0.004719207173194903,IBk,UnderSampling,Feature Selection,4.0,88.0,2021.0,6.0,0.043478260869565216,0.4,0.6795637743006164,0.07051862359891371
bookkeeper,6,0.1297741273100616,0.5,0.004719207173194903,NaiveBayes,UnderSampling,Feature Selection,4.0,79.0,2030.0,6.0,0.04819277108433735,0.4,0.6815552394499763,0.07825717604794001
bookkeeper,6,0.1297741273100616,0.5,0.004719207173194903,RandomForest,UnderSampling,Feature Selection,4.0,89.0,2020.0,6.0,0.043010752688172046,0.4,0.6781412991939307,0.06974218681405095
bookkeeper,6,0.9221842752745033,0.5,0.004719207173194903,IBk,SMOTE,No Feature Selection,2.0,14.0,2095.0,8.0,0.125,0.2,0.596633475580844,0.14890276408515143
bookkeeper,6,0.9221842752745033,0.5,0.004719207173194903,NaiveBayes,SMOTE,No Feature Selection,4.0,83.0,2026.0,6.0,0.04597701149425287,0.4,0.7732337600758653,0.07464070695720905
bookkeeper,6,0.9221842752745033,0.5,0.004719207173194903,RandomForest,SMOTE,No Feature Selection,2.0,13.0,2096.0,8.0,0.13333333333333333,0.2,0.7879326695116169,0.15521594684385248
bookkeeper,6,0.9221842752745033,0.5,0.004719207173194903,IBk,SMOTE,Feature Selection,3.0,76.0,2033.0,7.0,0.0379746835443038,0.3,0.5863205310573731,0.05953660479864822
bookkeeper,6,0.9221842752745033,0.5,0.004719207173194903,NaiveBayes,SMOTE,Feature Selection,4.0,82.0,2027.0,6.0,0.046511627906976744,0.4,0.6801327643432906,0.07551659858009939
bookkeeper,6,0.9221842752745033,0.5,0.004719207173194903,RandomForest,SMOTE,Feature Selection,1.0,16.0,2093.0,9.0,0.058823529411764705,0.1,0.6821953532479849,0.06853867388742912
bookkeeper,6,0.9221842752745033,0.5,0.004719207173194903,IBk,OverSampling,No Feature Selection,2.0,16.0,2093.0,8.0,0.1111111111111111,0.2,0.6287577050734946,0.13762463542019895
bookkeeper,6,0.9221842752745033,0.5,0.004719207173194903,NaiveBayes,OverSampling,No Feature Selection,4.0,83.0,2026.0,6.0,0.04597701149425287,0.4,0.8646040777619725,0.07464070695720905
bookkeeper,6,0.9221842752745033,0.5,0.004719207173194903,RandomForest,OverSampling,No Feature Selection,4.0,31.0,2078.0,6.0,0.11428571428571428,0.4,0.8400189663347558,0.17169721620622083
